Frame,Time,HMD_PosX,HMD_PosY,HMD_PosZ,HMD_RotX,HMD_RotY,HMD_RotZ,L_ctrl_PosX,L_ctrl_PosY,L_ctrl_PosZ,L_ctrl_RotX,L_ctrl_RotY,L_ctrl_RotZ,R_ctrl_PosX,R_ctrl_PosY,R_ctrl_PosZ,R_ctrl_RotX,R_ctrl_RotY,R_ctrl_RotZ,Timestamp
85,11.98419,-0.0724,0.4305,-0.2405,338.804,348.691,355.593,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.1202,0.3020,0.1088,343.474,343.349,356.571,01-08 17:52:31.968
86,12.02589,-0.0769,0.4340,-0.2415,336.902,346.349,355.546,-0.2655,0.0275,0.2762,4.203,19.299,306.779,-0.1613,0.2773,0.1201,340.496,349.364,8.939,01-08 17:52:32.009
87,12.06783,-0.0816,0.4373,-0.2427,335.547,345.517,354.707,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.1971,0.2471,0.1299,342.117,346.577,18.309,01-08 17:52:32.051
88,12.10972,-0.0850,0.4385,-0.2436,334.539,344.291,354.356,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2237,0.2173,0.1350,339.845,342.309,28.162,01-08 17:52:32.093
89,12.15133,-0.0891,0.4399,-0.2447,333.908,343.095,354.193,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2433,0.1952,0.1360,334.651,338.471,35.659,01-08 17:52:32.134
90,12.19275,-0.0937,0.4402,-0.2447,333.414,342.166,354.426,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2499,0.1836,0.1385,343.013,336.607,34.111,01-08 17:52:32.177
91,12.23414,-0.0984,0.4394,-0.2451,333.341,340.788,354.810,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2504,0.1822,0.1382,348.972,336.135,23.132,01-08 17:52:32.218
92,12.27601,-0.1030,0.4385,-0.2455,333.714,339.940,354.796,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2501,0.1822,0.1393,350.370,337.796,17.824,01-08 17:52:32.260
93,12.31752,-0.1070,0.4380,-0.2455,333.838,338.835,355.043,-0.2655,0.0275,0.2762,4.203,19.298,306.779,-0.2514,0.1809,0.1427,348.589,343.020,14.968,01-08 17:52:32.301
94,12.36204,-0.1096,0.4381,-0.2452,333.803,338.313,355.240,-0.2655,0.0275,0.2762,4.203,19.299,306.780,-0.2512,0.1778,0.1486,347.068,347.935,13.999,01-08 17:52:32.346
95,12.4024,-0.1115,0.4384,-0.2451,333.575,337.992,355.505,-0.2655,0.0275,0.2762,4.203,19.298,306.780,-0.2529,0.1722,0.1555,346.895,353.197,13.467,01-08 17:52:32.387
